Entity,Code,Year,Lives saved
South-East Asia,,1974,98119
South-East Asia,,1975,222503
South-East Asia,,1976,301594
South-East Asia,,1977,415263
South-East Asia,,1978,555086
South-East Asia,,1979,719638
South-East Asia,,1980,1005109
South-East Asia,,1981,1317134
South-East Asia,,1982,1405404
South-East Asia,,1983,1560226
South-East Asia,,1984,1843649
South-East Asia,,1985,2029212
South-East Asia,,1986,2278573
South-East Asia,,1987,2962022
South-East Asia,,1988,3440192
South-East Asia,,1989,4432748
South-East Asia,,1990,5354916
South-East Asia,,1991,6200333
South-East Asia,,1992,7193315
South-East Asia,,1993,8275249
South-East Asia,,1994,9346420
South-East Asia,,1995,10472684
South-East Asia,,1996,11558081
South-East Asia,,1997,12551361
South-East Asia,,1998,13615569
South-East Asia,,1999,14648904
South-East Asia,,2000,15698915
South-East Asia,,2001,16709882
South-East Asia,,2002,17784326
South-East Asia,,2003,18791775
South-East Asia,,2004,19810093
South-East Asia,,2005,20868006
South-East Asia,,2006,21881758
South-East Asia,,2007,22918964
South-East Asia,,2008,23950752
South-East Asia,,2009,24948771
South-East Asia,,2010,25969276
South-East Asia,,2011,26954279
South-East Asia,,2012,27922058
South-East Asia,,2013,28857397
South-East Asia,,2014,29768127
South-East Asia,,2015,30639557
South-East Asia,,2016,31500536
South-East Asia,,2017,32354795
South-East Asia,,2018,33191697
South-East Asia,,2019,34010872
South-East Asia,,2020,34820577
South-East Asia,,2021,35621401
South-East Asia,,2022,36433072
South-East Asia,,2023,37237940
South-East Asia,,2024,38040902
Western Pacific,,1974,44861
Western Pacific,,1975,112385
Western Pacific,,1976,160362
Western Pacific,,1977,219739
Western Pacific,,1978,284829
Western Pacific,,1979,342421
Western Pacific,,1980,415147
Western Pacific,,1981,497447
Western Pacific,,1982,553491
Western Pacific,,1983,723920
Western Pacific,,1984,1088465
Western Pacific,,1985,1469659
Western Pacific,,1986,1867626
Western Pacific,,1987,2409668
Western Pacific,,1988,3021449
Western Pacific,,1989,3637492
Western Pacific,,1990,4277122
Western Pacific,,1991,4888914
Western Pacific,,1992,5444528
Western Pacific,,1993,5931005
Western Pacific,,1994,6357949
Western Pacific,,1995,6744994
Western Pacific,,1996,7091339
Western Pacific,,1997,7435339
Western Pacific,,1998,7786689
Western Pacific,,1999,8137379
Western Pacific,,2000,8458245
Western Pacific,,2001,8777580
Western Pacific,,2002,9086229
Western Pacific,,2003,9358145
Western Pacific,,2004,9623227
Western Pacific,,2005,9880028
Western Pacific,,2006,10134313
Western Pacific,,2007,10380833
Western Pacific,,2008,10628717
Western Pacific,,2009,10873197
Western Pacific,,2010,11112326
Western Pacific,,2011,11362282
Western Pacific,,2012,11609029
Western Pacific,,2013,11854246
Western Pacific,,2014,12098168
Western Pacific,,2015,12341263
Western Pacific,,2016,12584362
Western Pacific,,2017,12823695
Western Pacific,,2018,13065114
Western Pacific,,2019,13300072
Western Pacific,,2020,13536684
Western Pacific,,2021,13783278
Western Pacific,,2022,14024988
Western Pacific,,2023,14278893
Western Pacific,,2024,14531872
World,OWID_WRL,1974,353491
World,OWID_WRL,1975,940954
World,OWID_WRL,1976,1407958
World,OWID_WRL,1977,2008342
World,OWID_WRL,1978,2804416
World,OWID_WRL,1979,3735161
World,OWID_WRL,1980,4888420
World,OWID_WRL,1981,6354752
World,OWID_WRL,1982,7618180
World,OWID_WRL,1983,9057731
World,OWID_WRL,1984,10916931
World,OWID_WRL,1985,13013042
World,OWID_WRL,1986,15215087
World,OWID_WRL,1987,18198721
World,OWID_WRL,1988,21113923
World,OWID_WRL,1989,24694049
World,OWID_WRL,1990,28319524
World,OWID_WRL,1991,31906358
World,OWID_WRL,1992,35421003
World,OWID_WRL,1993,39056687
World,OWID_WRL,1994,42590186
World,OWID_WRL,1995,46195685
World,OWID_WRL,1996,49672931
World,OWID_WRL,1997,53093070
World,OWID_WRL,1998,56495658
World,OWID_WRL,1999,59958826
World,OWID_WRL,2000,63385676
World,OWID_WRL,2001,66818442
World,OWID_WRL,2002,70321044
World,OWID_WRL,2003,73672430
World,OWID_WRL,2004,77142426
World,OWID_WRL,2005,80729439
World,OWID_WRL,2006,84365057
World,OWID_WRL,2007,88142197
World,OWID_WRL,2008,92005828
World,OWID_WRL,2009,95907028
World,OWID_WRL,2010,99961714
World,OWID_WRL,2011,103904849
World,OWID_WRL,2012,107860148
World,OWID_WRL,2013,111812956
World,OWID_WRL,2014,115743974
World,OWID_WRL,2015,119549419
World,OWID_WRL,2016,123486018
World,OWID_WRL,2017,127381535
World,OWID_WRL,2018,131252057
World,OWID_WRL,2019,135115844
World,OWID_WRL,2020,138902063
World,OWID_WRL,2021,142665381
World,OWID_WRL,2022,146474205
World,OWID_WRL,2023,150299895
World,OWID_WRL,2024,154025817
